Date,Open,High,Low,Close,Adj Close,Volume,Day 
2014-02-28,76.82,77.040001,76.220001,76.75,68.16951,54600,0
2014-03-03,76.139999,76.419998,75.610001,76.269997,67.743164,89800,1
2014-03-04,77.260002,77.75,77.260002,77.620003,68.942261,296600,2
2014-03-05,77.739998,77.980003,77.489998,77.769997,69.075462,96400,3
2014-03-06,78,78.379997,77.720001,78.309998,69.555099,142600,4
2014-03-07,78.82,78.82,77.980003,78.220001,69.475166,224000,5
2014-03-10,78.25,78.400002,77.730003,78.089996,69.359695,50100,6
2014-03-11,78.25,78.459999,77.440002,77.660004,68.977768,59500,7
2014-03-12,77.309998,78.309998,77.160004,78.279999,69.528442,48600,8
2014-03-13,78.510002,78.629997,76.610001,77.010002,68.400429,259400,9
2014-03-14,76.919998,77.230003,76.559998,76.57,68.009636,59500,10
2014-03-17,77.07,77.790001,77.07,77.519997,68.853432,50100,11
2014-03-18,77.82,78.669998,77.529999,78.639999,69.848206,179400,12
2014-03-19,78.660004,79.099998,78.110001,78.57,69.786026,261700,13
2014-03-20,78.379997,80.059998,78.239998,80.019997,71.073914,177900,14
2014-03-21,80.269997,80.360001,79.139999,79.32,70.452171,132000,15
2014-03-24,79.709999,79.769997,78.360001,79,70.167969,242600,16
2014-03-25,79.160004,79.82,78.970001,79.379997,70.692474,103100,17
2014-03-26,80.230003,80.300003,78.480003,78.480003,69.891006,128100,18
2014-03-27,78.5,78.75,77.690002,77.900002,69.374481,181200,19
2014-03-28,78.139999,79.029999,78.089996,78.410004,69.828667,71400,20
2014-03-31,79.07,79.940002,78.93,79.690002,70.968552,232100,21
2014-04-01,80.059998,80.959999,80.040001,80.959999,72.099564,207000,22
2014-04-02,81.110001,81.120003,80.419998,80.839996,71.992729,180900,23
2014-04-03,80.970001,81.699997,80.629997,80.959999,72.099564,118200,24
2014-04-04,81.599998,81.599998,78.559998,78.669998,70.060196,325900,25
2014-04-07,78.470001,79.120003,77.519997,77.959999,69.427879,265700,26
2014-04-08,78.080002,79.029999,78.07,78.980003,70.336288,60400,27
2014-04-09,79.339996,79.849998,78.949997,79.809998,71.075439,58000,28
2014-04-10,79.93,79.93,77.260002,77.339996,68.875755,434800,29
2014-04-11,76.470001,77.540001,75.93,76.129997,67.798172,390000,30
2014-04-14,76.75,77.150002,76.019997,76.739998,68.341431,427000,31
2014-04-15,76.879997,77.470001,75.900002,77.239998,68.78672,159300,32
2014-04-16,77.449997,77.5,76,77.110001,68.670921,196900,33
2014-04-17,77.589996,78.879997,77.5,78.559998,69.962242,118200,34
